F,FoS,Sy,d
100,0.1,450,2
100,0.1,600,2
100,0.1,650,2
100,0.1,940,2
100,0.1,1100,2
100,0.5,450,2
100,0.5,600,2
100,0.5,650,2
100,0.5,940,2
100,0.5,1100,2
100,0.9,450,2
100,0.9,600,2
100,0.9,650,2
100,0.9,940,2
100,0.9,1100,2
100,1,450,2
100,1,600,2
100,1,650,2
100,1,940,2
100,1,1100,2
100,2,450,2
100,2,600,2
100,2,650,2
100,2,940,2
100,2,1100,2
100,3,450,2
100,3,600,2
100,3,650,2
100,3,940,2
100,3,1100,2
110,0.1,450,2
110,0.1,600,2
110,0.1,650,2
110,0.1,940,2
110,0.1,1100,2
110,0.5,450,2
110,0.5,600,2
110,0.5,650,2
110,0.5,940,2
110,0.5,1100,2
110,0.9,450,2
110,0.9,600,2
110,0.9,650,2
110,0.9,940,2
110,0.9,1100,2
110,1,450,2
110,1,600,2
110,1,650,2
110,1,940,2
110,1,1100,2
110,2,450,2
110,2,600,2
110,2,650,2
110,2,940,2
110,2,1100,2
110,3,450,2
110,3,600,2
110,3,650,2
110,3,940,2
110,3,1100,2
120,0.1,450,2
120,0.1,600,2
120,0.1,650,2
120,0.1,940,2
120,0.1,1100,2
120,0.5,450,2
120,0.5,600,2
120,0.5,650,2
120,0.5,940,2
120,0.5,1100,2
120,0.9,450,2
120,0.9,600,2
120,0.9,650,2
120,0.9,940,2
120,0.9,1100,2
120,1,450,2
120,1,600,2
120,1,650,2
120,1,940,2
120,1,1100,2
120,2,450,2
120,2,600,2
120,2,650,2
120,2,940,2
120,2,1100,2
120,3,450,2
120,3,600,2
120,3,650,2
120,3,940,2
120,3,1100,2
130,0.1,450,2
130,0.1,600,2
130,0.1,650,2
130,0.1,940,2
130,0.1,1100,2
130,0.5,450,2
130,0.5,600,2
130,0.5,650,2
130,0.5,940,2
130,0.5,1100,2
130,0.9,450,2
130,0.9,600,2
130,0.9,650,2
130,0.9,940,2
130,0.9,1100,2
130,1,450,2
130,1,600,2
130,1,650,2
130,1,940,2
130,1,1100,2
130,2,450,2
130,2,600,2
130,2,650,2
130,2,940,2
130,2,1100,2
130,3,450,2
130,3,600,2
130,3,650,2
130,3,940,2
130,3,1100,2
140,0.1,450,2
140,0.1,600,2
140,0.1,650,2
140,0.1,940,2
140,0.1,1100,2
140,0.5,450,2
140,0.5,600,2
140,0.5,650,2
140,0.5,940,2
140,0.5,1100,2
140,0.9,450,2
140,0.9,600,2
140,0.9,650,2
140,0.9,940,2
140,0.9,1100,2
140,1,450,2
140,1,600,2
140,1,650,2
140,1,940,2
140,1,1100,2
140,2,450,2
140,2,600,2
140,2,650,2
140,2,940,2
140,2,1100,2
140,3,450,2
140,3,600,2
140,3,650,2
140,3,940,2
140,3,1100,2
150,0.1,450,2
150,0.1,600,2
150,0.1,650,2
150,0.1,940,2
150,0.1,1100,2
150,0.5,450,2
150,0.5,600,2
150,0.5,650,2
150,0.5,940,2
150,0.5,1100,2
150,0.9,450,2
150,0.9,600,2
150,0.9,650,2
150,0.9,940,2
150,0.9,1100,2
150,1,450,2
150,1,600,2
150,1,650,2
150,1,940,2
150,1,1100,2
150,2,450,2
150,2,600,2
150,2,650,2
150,2,940,2
150,2,1100,2
150,3,450,2
150,3,600,2
150,3,650,2
150,3,940,2
150,3,1100,2
160,0.1,450,2
160,0.1,600,2
160,0.1,650,2
160,0.1,940,2
160,0.1,1100,2
160,0.5,450,2
160,0.5,600,2
160,0.5,650,2
160,0.5,940,2
160,0.5,1100,2
160,0.9,450,2
160,0.9,600,2
160,0.9,650,2
160,0.9,940,2
160,0.9,1100,2
160,1,450,2
160,1,600,2
160,1,650,2
160,1,940,2
160,1,1100,2
160,2,450,2
160,2,600,2
160,2,650,2
160,2,940,2
160,2,1100,2
160,3,450,2
160,3,600,2
160,3,650,2
160,3,940,2
160,3,1100,2
170,0.1,450,2
170,0.1,600,2
170,0.1,650,2
170,0.1,940,2
170,0.1,1100,2
170,0.5,450,2
170,0.5,600,2
170,0.5,650,2
170,0.5,940,2
170,0.5,1100,2
170,0.9,450,2
170,0.9,600,2
170,0.9,650,2
170,0.9,940,2
170,0.9,1100,2
170,1,450,2
170,1,600,2
170,1,650,2
170,1,940,2
170,1,1100,2
170,2,450,2
170,2,600,2
170,2,650,2
170,2,940,2
170,2,1100,2
170,3,450,2
170,3,600,2
170,3,650,2
170,3,940,2
170,3,1100,2
180,0.1,450,2
180,0.1,600,2
180,0.1,650,2
180,0.1,940,2
180,0.1,1100,2
180,0.5,450,2
180,0.5,600,2
180,0.5,650,2
180,0.5,940,2
180,0.5,1100,2
180,0.9,450,2
180,0.9,600,2
180,0.9,650,2
180,0.9,940,2
180,0.9,1100,2
180,1,450,2
180,1,600,2
180,1,650,2
180,1,940,2
180,1,1100,2
180,2,450,2
180,2,600,2
180,2,650,2
180,2,940,2
180,2,1100,2
180,3,450,2
180,3,600,2
180,3,650,2
180,3,940,2
180,3,1100,2
190,0.1,450,2
190,0.1,600,2
190,0.1,650,2
190,0.1,940,2
190,0.1,1100,2
190,0.5,450,2
190,0.5,600,2
190,0.5,650,2
190,0.5,940,2
190,0.5,1100,2
190,0.9,450,2
190,0.9,600,2
190,0.9,650,2
190,0.9,940,2
190,0.9,1100,2
190,1,450,2
190,1,600,2
190,1,650,2
190,1,940,2
190,1,1100,2
190,2,450,2
190,2,600,2
190,2,650,2
190,2,940,2
190,2,1100,2
190,3,450,2
190,3,600,2
190,3,650,2
190,3,940,2
190,3,1100,2
200,0.1,450,2
200,0.1,600,2
200,0.1,650,2
200,0.1,940,2
200,0.1,1100,2
200,0.5,450,2
200,0.5,600,2
200,0.5,650,2
200,0.5,940,2
200,0.5,1100,2
200,0.9,450,2
200,0.9,600,2
200,0.9,650,2
200,0.9,940,2
200,0.9,1100,2
200,1,450,2
200,1,600,2
200,1,650,2
200,1,940,2
200,1,1100,2
200,2,450,2
200,2,600,2
200,2,650,2
200,2,940,2
200,2,1100,2
200,3,450,2
200,3,600,2
200,3,650,2
200,3,940,2
200,3,1100,2
210,0.1,450,2
210,0.1,600,2
210,0.1,650,2
210,0.1,940,2
210,0.1,1100,2
210,0.5,450,2
210,0.5,600,2
210,0.5,650,2
210,0.5,940,2
210,0.5,1100,2
210,0.9,450,2
210,0.9,600,2
210,0.9,650,2
