F,FoS,Sy,d
100,1,415,1.5
100,1,360,1.5
100,1,215,1.5
100,1,290,1.5
100,1,275,1.5
100,2,415,1.5
100,2,360,1.5
100,2,215,1.5
100,2,290,1.5
100,2,275,1.5
100,3,415,1.5
100,3,360,1.5
100,3,215,1.5
100,3,290,1.5
100,3,275,1.5
110,1,415,1.5
110,1,360,1.5
110,1,215,1.5
110,1,290,1.5
110,1,275,1.5
110,2,415,1.5
110,2,360,1.5
110,2,215,1.5
110,2,290,1.5
110,2,275,1.5
110,3,415,1.5
110,3,360,1.5
110,3,215,1.5
110,3,290,1.5
110,3,275,1.5
120,1,415,1.5
120,1,360,1.5
120,1,215,1.5
120,1,290,1.5
120,1,275,1.5
120,2,415,1.5
120,2,360,1.5
120,2,215,1.5
120,2,290,1.5
120,2,275,1.5
120,3,415,1.5
120,3,360,1.5
120,3,215,1.5
120,3,290,1.5
120,3,275,1.5
130,1,415,1.5
130,1,360,1.5
130,1,215,1.5
130,1,290,1.5
130,1,275,1.5
130,2,415,1.5
130,2,360,1.5
130,2,215,1.5
130,2,290,1.5
130,2,275,1.5
130,3,415,1.5
130,3,360,1.5
130,3,215,2
130,3,290,1.5
130,3,275,1.5
140,1,415,1.5
140,1,360,1.5
140,1,215,1.5
140,1,290,1.5
140,1,275,1.5
140,2,415,1.5
140,2,360,1.5
140,2,215,1.5
140,2,290,1.5
140,2,275,1.5
140,3,415,1.5
140,3,360,1.5
140,3,215,2
140,3,290,1.5
140,3,275,1.5
150,1,415,1.5
150,1,360,1.5
150,1,215,1.5
150,1,290,1.5
150,1,275,1.5
150,2,415,1.5
150,2,360,1.5
150,2,215,1.5
150,2,290,1.5
150,2,275,1.5
150,3,415,1.5
150,3,360,1.5
150,3,215,2
150,3,290,1.5
150,3,275,1.5
160,1,415,1.5
160,1,360,1.5
160,1,215,1.5
160,1,290,1.5
160,1,275,1.5
160,2,415,1.5
160,2,360,1.5
160,2,215,1.5
160,2,290,1.5
160,2,275,1.5
160,3,415,1.5
160,3,360,1.5
160,3,215,2
160,3,290,1.5
160,3,275,1.5
170,1,415,1.5
170,1,360,1.5
170,1,215,1.5
170,1,290,1.5
170,1,275,1.5
170,2,415,1.5
170,2,360,1.5
170,2,215,1.5
170,2,290,1.5
170,2,275,1.5
170,3,415,1.5
170,3,360,1.5
170,3,215,2
170,3,290,1.5
170,3,275,2
180,1,415,1.5
180,1,360,1.5
180,1,215,1.5
180,1,290,1.5
180,1,275,1.5
180,2,415,1.5
180,2,360,1.5
180,2,215,1.5
180,2,290,1.5
180,2,275,1.5
180,3,415,1.5
180,3,360,1.5
180,3,215,2
180,3,290,2
180,3,275,2
190,1,415,1.5
190,1,360,1.5
190,1,215,1.5
190,1,290,1.5
190,1,275,1.5
190,2,415,1.5
190,2,360,1.5
190,2,215,2
190,2,290,1.5
190,2,275,1.5
190,3,415,1.5
190,3,360,1.5
190,3,215,2
190,3,290,2
190,3,275,2
200,1,415,1.5
200,1,360,1.5
200,1,215,1.5
200,1,290,1.5
200,1,275,1.5
200,2,415,1.5
200,2,360,1.5
200,2,215,2
200,2,290,1.5
200,2,275,1.5
200,3,415,1.5
200,3,360,1.5
200,3,215,2
200,3,290,2
200,3,275,2
210,1,415,1.5
210,1,360,1.5
210,1,215,1.5
210,1,290,1.5
210,1,275,1.5
210,2,415,1.5
210,2,360,1.5
210,2,215,2
210,2,290,1.5
210,2,275,1.5
210,3,415,1.5
210,3,360,1.5
210,3,215,2
210,3,290,2
210,3,275,2
220,1,415,1.5
220,1,360,1.5
220,1,215,1.5
220,1,290,1.5
220,1,275,1.5
220,2,415,1.5
220,2,360,1.5
220,2,215,2
220,2,290,1.5
220,2,275,1.5
220,3,415,1.5
220,3,360,2
220,3,215,2
220,3,290,2
220,3,275,2
230,1,415,1.5
230,1,360,1.5
230,1,215,1.5
230,1,290,1.5
230,1,275,1.5
230,2,415,1.5
230,2,360,1.5
230,2,215,2
230,2,290,1.5
230,2,275,1.5
230,3,415,1.5
230,3,360,2
230,3,215,2.5
230,3,290,2
230,3,275,2
240,1,415,1.5
240,1,360,1.5
240,1,215,1.5
240,1,290,1.5
240,1,275,1.5
240,2,415,1.5
240,2,360,1.5
240,2,215,2
240,2,290,1.5
240,2,275,1.5
240,3,415,1.5
240,3,360,2
240,3,215,2.5
240,3,290,2
240,3,275,2
250,1,415,1.5
250,1,360,1.5
250,1,215,1.5
250,1,290,1.5
250,1,275,1.5
250,2,415,1.5
250,2,360,1.5
250,2,215,2
250,2,290,1.5
250,2,275,2
250,3,415,2
250,3,360,2
250,3,215,2.5
250,3,290,2
250,3,275,2
260,1,415,1.5
260,1,360,1.5
260,1,215,1.5
260,1,290,1.5
260,1,275,1.5
260,2,415,1.5
260,2,360,1.5
260,2,215,2
260,2,290,2
260,2,275,2
260,3,415,2
260,3,360,2
260,3,215,2.5
260,3,290,2
260,3,275,2
270,1,415,1.5
270,1,360,1.5
270,1,215,1.5
270,1,290,1.5
270,1,275,1.5
270,2,415,1.5
270,2,360,1.5
270,2,215,2
270,2,290,2
270,2,275,2
270,3,415,2
270,3,360,2
270,3,215,2.5
270,3,290,2
270,3,275,2
280,1,415,1.5
280,1,360,1.5
280,1,215,1.5
280,1,290,1.5
280,1,275,1.5
280,2,415,1.5
280,2,360,1.5
280,2,215,2
280,2,290,2
280,2,275,2
280,3,415,2
280,3,360,2
280,3,215,2.5
280,3,290,2
280,3,275,2
290,1,415,1.5
290,1,360,1.5
290,1,215,1.5
290,1,290,1.5
290,1,275,1.5
290,2,415,1.5
290,2,360,1.5
290,2,215,2
290,2,290,2
290,2,275,2
290,3,415,2
290,3,360,2
290,3,215,2.5
290,3,290,2
290,3,275,2.5
300,1,415,1.5
300,1,360,1.5
300,1,215,1.5
300,1,290,1.5
300,1,275,1.5
300,2,415,1.5
300,2,360,1.5
300,2,215,2
300,2,290,2
300,2,275,2
300,3,415,2
300,3,360,2
300,3,215,2.5
300,3,290,2
300,3,275,2.5
310,1,415,1.5
310,1,360,1.5
310,1,215,1.5
310,1,290,1.5
310,1,275,1.5
310,2,415,1.5
310,2,360,1.5
310,2,215,2
310,2,290,2
310,2,275,2
310,3,415,2
310,3,360,2
310,3,215,2.5
310,3,290,2.5
310,3,275,2.5
320,1,415,1.5
320,1,360,1.5
320,1,215,1.5
320,1,290,1.5
320,1,275,1.5
320,2,415,1.5
320,2,360,2
320,2,215,2
320,2,290,2
320,2,275,2
320,3,415,2
320,3,360,2
320,3,215,2.5
320,3,290,2.5
320,3,275,2.5
330,1,415,1.5
330,1,360,1.5
330,1,215,1.5
330,1,290,1.5
330,1,275,1.5
330,2,415,1.5
330,2,360,2
330,2,215,2
330,2,290,2
330,2,275,2
330,3,415,2
330,3,360,2
330,3,215,2.5
330,3,290,2.5
330,3,275,2.5
340,1,415,1.5
340,1,360,1.5
340,1,215,1.5
340,1,290,1.5
340,1,275,1.5
340,2,415,1.5
340,2,360,2
340,2,215,2.5
340,2,290,2
340,2,275,2
340,3,415,2
340,3,360,2
340,3,215,2.5
340,3,290,2.5
340,3,275,2.5
350,1,415,1.5
350,1,360,1.5
350,1,215,1.5
350,1,290,1.5
350,1,275,1.5
350,2,415,1.5
350,2,360,2
350,2,215,2.5
350,2,290,2
350,2,275,2
350,3,415,2
350,3,360,2
350,3,215,2.5
350,3,290,2.5
350,3,275,2.5
360,1,415,1.5
360,1,360,1.5
360,1,215,1.5
360,1,290,1.5
360,1,275,1.5
360,2,415,1.5
360,2,360,2
360,2,215,2.5
360,2,290,2
360,2,275,2
360,3,415,2
360,3,360,2
360,3,215,3
360,3,290,2.5
360,3,275,2.5
370,1,415,1.5
370,1,360,1.5
370,1,215,1.5
370,1,290,1.5
370,1,275,1.5
370,2,415,2
370,2,360,2
370,2,215,2.5
370,2,290,2
370,2,275,2
370,3,415,2
370,3,360,2
370,3,215,3
370,3,290,2.5
370,3,275,2.5
380,1,415,1.5
380,1,360,1.5
380,1,215,2
380,1,290,1.5
380,1,275,1.5
380,2,415,2
380,2,360,2
380,2,215,2.5
380,2,290,2
380,2,275,2
380,3,415,2
380,3,360,2.5
380,3,215,3
380,3,290,2.5
380,3,275,2.5
390,1,415,1.5
390,1,360,1.5
390,1,215,2
390,1,290,1.5
390,1,275,1.5
390,2,415,2
390,2,360,2
390,2,215,2.5
390,2,290,2
390,2,275,2
390,3,415,2
390,3,360,2.5
390,3,215,3
390,3,290,2.5
390,3,275,2.5
400,1,415,1.5
400,1,360,1.5
400,1,215,2
400,1,290,1.5
400,1,275,1.5
400,2,415,2
400,2,360,2
400,2,215,2.5
400,2,290,2
400,2,275,2
400,3,415,2
400,3,360,2.5
400,3,215,3
400,3,290,2.5
400,3,275,2.5
410,1,415,1.5
410,1,360,1.5
410,1,215,2
410,1,290,1.5
410,1,275,1.5
410,2,415,2
410,2,360,2
410,2,215,2.5
410,2,290,2
410,2,275,2
410,3,415,2
410,3,360,2.5
410,3,215,3
410,3,290,2.5
410,3,275,2.5
420,1,415,1.5
420,1,360,1.5
420,1,215,2
420,1,290,1.5
420,1,275,1.5
420,2,415,2
420,2,360,2
420,2,215,2.5
420,2,290,2
420,2,275,2
420,3,415,2
420,3,360,2.5
420,3,215,3
420,3,290,2.5
420,3,275,2.5
430,1,415,1.5
430,1,360,1.5
430,1,215,2
430,1,290,1.5
430,1,275,1.5
